"Data Source","Country/Region Name","Product Name","Element Name","Units","Year","Value"
"CBS","Argentina","Maize","Exports","Million tonnes","2013/14","12.074"
"CBS","Argentina","Maize","Exports","Million tonnes","2012/13","21.669"
"CBS","Argentina","Maize","Exports","Million tonnes","2011/12","16.155"
"CBS","Argentina","Maize","Exports","Million tonnes","2010/11","15.775"
"CBS","Argentina","Maize","Exports","Million tonnes","2009/10","12.964"
"CBS","Argentina","Maize","Exports","Million tonnes","2008/09","12.061"
"CBS","Argentina","Maize","Exports","Million tonnes","2007/08","14.829"
"CBS","Argentina","Maize","Exports","Million tonnes","2006/07","13.377"
"CBS","Argentina","Maize","Exports","Million tonnes","2005/06","11.333"
"CBS","Argentina","Maize","Exports","Million tonnes","2004/05","12.386"
"CBS","Argentina","Maize","Exports","Million tonnes","2003/04","9.915"
"CBS","Argentina","Maize","Exports","Million tonnes","2002/03","11.661"
"CBS","Argentina","Maize","Exports","Million tonnes","2001/02","9.202"
"CBS","Argentina","Maize","Exports","Million tonnes","2000/01","11.834"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2018/19","26.5"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2017/18","25.984"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2016/17","21.465"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2015/16","18.963"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2014/15","17.102"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2013/14","18.687"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2012/13","17.149"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2011/12","16.35"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2010/11","16.505"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2009/10","10.018"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2008/09","18.03"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2007/08","14.863"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2006/07","9.623"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2005/06","14.198"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2004/05","10.572"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2003/04","10.901"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2002/03","10.651"
"CBS","Argentina","Maize","Exports (NMY)","Million tonnes","2001/02","9.631"
